Levels,Categories,Values
,Worker,junior engineer
,Worker,Product Engineer
,Worker,Production Engineer
,Worker,Service Engineer
,Worker,Assistant Engineer
,Worker,Senior Engineer
,Worker,QA Engineer
,Worker,Quality Assurance Engineer
,Worker,Quality Engineer
,Worker,Design Engineer
,Worker,Senior Design Engineer
,Worker,Technician
,Worker,Accountant
,Worker,Auditor
,Worker,CA
,Worker,Chartered Accountant
,Worker,CS
,Worker,Company Secretary
,Worker,Property Appraiser
,Worker,Accounts
,Worker,Property Assessor
,Worker,Bank cashier
,Worker,Process Analyst
,Worker,Operations
,Worker,Business Process Solution
,Worker,Operations Research Analyst
,Worker,Operations Co-ordinator
,Worker,Business Process Analyst
,Worker,Business Operations Analyst
,Worker,Operations Specialist
,Worker,Operations Analyst
,Worker,Ops Analyst
,Worker,Operations Assistant
,Worker,Operations Engineer
,Worker,Operations Officer
,Worker,Strategy and Operations
,Worker,Business Operations Specialist
,Worker,Operations Tech
,Worker,Ops Officer
,Worker,Inventory Clerk
,Worker,Supply chain and Logistics Coordinator
,Worker,SCL Coordinator
,Worker,Supply chain and Logistics Transportation Specialist
,Worker,SCL Specialist
,Worker,Supply Chain and Logistics Sourcing Specialist
,Worker,SCL Sourcing Specialist
,Worker,Purchasing Agent
,Worker,Buyer
,Worker,Supply Chain Analyst
,Worker,Supply Chain Business Analyst
,Worker,Procurement Specialist
,Worker,Warehouse Administrator
,Worker,Transport Admininstrator
,Worker,Logistics Administrator
,Worker,Supply Chain Solutions Design Analyst
,Worker,Supply Chain IT
,Worker,Supply Chain consulting
,Worker,Project Coordinator
,Worker,Assistant Product Analyst
,Worker,Product Analyst
,Worker,Assistant Product Analyst
,Worker,Senior Product Analyst
,Worker,Lawyer
,Worker,Advocate
,Worker,Advisor
,Worker,Teacher
,Worker,High School Teacher
,Worker,English Teacher
,Worker,Biology Teacher
,Worker,Science Teacher
,Worker,Arts Teacher
,Worker,Music Teacher
,Worker,Special Educator
,Worker,Professor
,Worker,Associate Professor
,Worker,Assistant Professor
,Worker,Lecturer
,Worker,graduate teaching assistant
,Worker,Research
,Worker,Research Associate
,Worker,Research Scholar
,Worker,Researcher
,Worker,Scientist
,Worker,HR
,Worker,Human Resources
,Worker,Human Resources Executive
,Worker,Senior Executive Human Resources
,Worker,Human Resources Recruiter
,Worker,Operations
,Worker,Member of Technical Staff
,Worker,Specialist
,Worker,Officer
,Worker,fresher
,Worker,internship
,Worker,Trainer
,Worker,Faculty
,Worker,intern
,Worker,Architect
,Worker,Administrator
,Worker,Trainee
,Worker,technology sales representative
,Worker,regional sales officer
,Worker,technology sales specialist
,Worker,Assistant
,LM,Lead Software Engineer
,LM,Technical Team Lead
,LM,Technical Team Leader
,LM,Senior Technical Lead
,LM,Technical Manager
,LM,Technology Lead
,LM,IT Analyst
,LM,Staff Software Engineer
,LM,System Administrator
,LM,Application Development Specialist
,LM,senior system analyst
,LM,Computer Network Support Specialists
,LM,Computer User Support Specialists
,LM,Computer Network Architects
,LM,Test Lead
,LM,Database Administrators
,LM,Database Architects
,LM,Solutions Architect
,LM,Solution Architect
,LM,Enterprise Architect
,LM,Systems Architect
,LM,Technical Architect
,LM,Solutions Delivery Executive
,LM,Lead Analyst
,LM,Business Architect
,LM,Business Systems Analyst
,LM,Agile Business Analyst
,LM,Senior financial analyst
,LM,Business Consultant
,LM,Consultant
,LM,Senior Consultant
,LM,Senior Associate Consultant
,LM,Engagement Manager
,LM,Implementation Consultant
,LM,Project Manager Consultant
,LM,Senior Technical Consultant
,LM,Technical Consultant
,LM,SAP Consultant
,LM,SAP Technical Consultant
,LM,ABAP Consultant
,LM,Application Consultant
,LM,Marketing Manager
,LM,Brand Manager
,LM,Social Media Marketing Manager
,LM,Corporate Communications Manager
,LM,Communications Manager
,LM,Multimedia Communications Manager
,LM,Branch Sales Manager
,LM,Store Manager
,LM,District Sales Manager
,LM,Franchise Manager
,LM,Sales Manager
,LM,"sales, manager"
,LM,Key Account Manager
,LM,Account Manager
,LM,Relationship Manager
,LM,Business Development Manager
,LM,Area Business Manager
,LM,Project Engineer
,LM,Senior Project Engineer
,LM,Lead Engineer
,LM,Technician Lead
,LM,Senior Accountant
,LM,Bank Manager
,LM,Finance Manager
,LM,Operations Manager
,LM,Operations Lead
,LM,Operations Supervisor
,LM,Business Operations Manager
,LM,Process Engineer
,LM,Senior Process Engineer
,LM,Ops Manager
,LM,Operations Management Lead
,LM,Ops Management Lead
,LM,Strategy and Operations Lead
,LM,Strategy and Ops lead
,LM,Distribution Manager
,LM,Supply Chain Manager
,LM,Area Logistics Manager
,LM,Logistics Operations Manager
,LM,Transportation Logistics Manager
,LM,Production Warehouse Manager
,LM,Purchasing Manager
,LM,Category Manager
,LM,Procurement Manager
,LM,Commodities Manager
,LM,Strategic Sourcing Manager
,LM,Logistics Manager
,LM,Transport Manager
,LM,Warehouse Manager
,LM,Supply Chain Finance Management
,LM,Project Manager
,LM,Technical Project Manager
,LM,Project Leader
,LM,Project Lead
,LM,Development Manager
,LM,assistant project manager
,LM,Program Manager
,LM,Assistant Program Manager
,LM,Deputy Program Manager
,LM,Product Manager
,LM,Assistant Product Manager
,LM,Technical Product Manager
,LM,Human Resource Manager
,LM,Assistant Manager Human Resources
,LM,Human Resources Generalist
,LM,"human resources, manager"
,LM,"manager, human resources"
,LM,Assistant Manager
,LM,Associate Manager
,LM,Team Lead
,LM,Team Leader
,LM,Lead
,LM,Manager
,LM,Branch Manager
,LM,Deputy Manager
,LM,Area Managers
,LM,DY Manager
,LM,Team Manager
,LM,supervisor
,LM,senior specialist
,LM,store and sales manager
,LM,Module Lead
,LM,Senior Technical Manager
,LM,IT Manager
,LM,Senior System Engineer
,LM,Senior Software Developer
,LM,Technical team Lead
,LM,Technical Lead
,LM,Technical Leader
,LM,DevOps Engineer
,LM,Service Delivery Manager
,LM,IT Consultant
,LM,Area Sales Manager
,LM,Territory Sales Manager
,LM,Territory Manager
,LM,Group Sales Manager
,LM,Regional Sales Manager
,LM,Regional Sales Account Manager
,LM,Regional Account Manager
,LM,Engineering Manager
,LM,Senior Engineering Manager
,LM,Bank Branch Manager
,LM,Senior Manager Business Operations
,LM,Senior Manager Ops
,LM,Head Business Operations
,LM,Head Business Ops
,LM,Delivery Manager
,LM,Senior Project Manager
,LM,Senior Program Manager
,LM,Senior Product Manager
,LM,Product Owner
,LM,School Coordinator
,LM,Academic Co-ordinator
,LM,Human Resource Head
,LM,Head Human Resources
,LM,sales head
,LM,Head
,TM,CEO
,TM,Chief Executive Officer
,TM,Chief Technical Officer
,TM,CTO
,TM,Chief Technology Officer
,TM,Chief Marketing Officer
,TM,CMO
,TM,Chief Operating Officer
,TM,COO
,TM,Chief Product Officer
,TM,CPO
,TM,Chief Financial Officer
,TM,CFO
,TM,Director
,TM,Co Founder
,TM,Owner
,TM,Business Owner
,TM,Director of Operations
,TM,Director Product
,TM,Managing Director
,TM,General Manager
,TM,Principal Consultant
,TM,Sales Director
,TM,Principal Engineer
,TM,President
,TM,Partner
,TM,Founder
,TM,Senior Officer
,TM,Senior Director
,TM,Chief Manager
,TM,Associate Director
,TM,executive director
,TM,Entrepreneur
,TM,Associate General Manager
,TM,Assistant General Manager
,TM,Managing Partner
,TM,President
,TM,Executive Assistant
,TM,Human Resources Business Partner
,Others,IT
,Others,Information and Technology
,Others,Information and Technology
,Others,Outsourcing and Offshoring
,Others,Subject Matter Expert
,Others,SME
,Others,Brand
,Others,Campaign
,Others,Judge
,Others,Magistrates
,Others,Adjudicators
,Others,Magistrate Judges
,Others,Paralegal
,Others,Legal Secretaries
,Others,Legal Assitants
,Others,Legal Support Workers
,Others,Fashion Designer
,Others,Stylist
,Others,Assitant Stylist
,Others,Junior Stylist
,Others,Junior Designer
,Others,Interior Designer
,Others,Jewellery Designer
,Others,Doctor
,Others,Medical Doctor
,Others,Junior Doctor
,Others,Physician
,Others,Surgeon
,Others,Surgery Specialist
,Others,Pediatrecian
,Others,Neurologist
,Others,Psychiatrist
,Others,Paramedic
,Others,Nurse Practitioner
,Others,Nurse Assistant
,Others,Staff Nurse
,Others,Anasthetist
,Others,Radiologist
,Others,Pharmacist
,Others,Business
,Others,Senior Member Of Technical Staff
,Others,Student
,MM,Principal Software Engineer
,MM,Business Manager
,MM,Business head
,MM,Bank Chief Manager
,MM,VP operations
,MM,Vice President of Operations
,MM,Operations Head
,MM,General Manager Operations
,MM,General Manager Ops
,MM,VP Global Operations
,MM,EVP Strategic Business operations
,MM,VP Growth and Operations
,MM,SVP Growth and Operations
,MM,Group Product Manager
,MM,VP of Product Management
,MM,VP Product Management
,MM,Principal
,MM,Vice Principal
,MM,Chancellor
,MM,Vice-Chancellor
,MM,Regional Manager
,MM,Senior Manager
,MM,Vice President
,MM,Senior Vice President
,MM,Assistant Vice President
,MM,Associate Vice President
,MM,Principal Sales Consultant
,MM,vice president sales
